# Simulation 2 (Up to date)
# 702 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
79.076,-11.778,0.459,34.253
77.146,-11.744,0.459,34.253
75.222,-11.711,0.459,34.253
73.304,-11.679,0.459,34.253
71.391,-11.65,0.459,34.253
69.482,-11.624,0.459,34.253
67.576,-11.603,0.459,34.253
65.675,-11.586,0.459,34.253
63.775,-11.574,0.459,34.253
61.877,-11.566,0.459,34.253
59.98,-11.562,0.459,34.253
58.084,-11.56,0.459,34.253
56.187,-11.56,0.459,34.253
54.291,-11.561,0.459,34.253
52.394,-11.563,0.459,34.253
50.498,-11.563,0.459,34.253
48.601,-11.561,0.459,34.253
46.705,-11.559,0.459,34.253
44.809,-11.556,0.459,34.253
42.913,-11.553,0.459,34.253
41.018,-11.549,0.459,34.253
39.124,-11.546,0.459,34.253
37.23,-11.544,0.459,34.253
35.337,-11.543,0.459,34.253
33.443,-11.542,0.459,34.253
31.55,-11.543,0.459,34.253
29.656,-11.545,0.459,34.253
27.762,-11.548,0.459,34.253
25.867,-11.551,0.459,34.253
23.972,-11.553,0.459,34.253
22.077,-11.555,0.459,34.253
20.181,-11.556,0.459,34.253
18.286,-11.555,0.459,34.253
16.39,-11.553,0.459,34.253
14.495,-11.55,0.459,34.253
12.601,-11.546,0.459,34.253
10.707,-11.541,0.459,34.253
8.815,-11.535,0.459,34.253
6.923,-11.528,0.459,34.253
5.032,-11.521,0.459,34.253
3.143,-11.514,0.459,34.253
1.255,-11.506,0.459,34.253
# Event GROUND_HIT occurred at t=28.415 seconds
# Event SIMULATION_END occurred at t=28.415 seconds
-0.632,-11.5,0.459,34.253
